entity1,entity2,sentence,is_sentence_valid,doc_id,doc_title,doc_url,doc_source,date_published,entity1_input,entity2_input,sentence_entity,vec,old_sentence
loxo_101,trk,"Given LOXO-101's specificity, we do not anticipate clinical activity in patients whose tumors are not driven by TRK.",True,109156007,"Loxo Oncology, Inc. | DRS | 2014-05-14",https://www.sec.gov/Archives/edgar/data/0001581720/0000912057-14-000164.txt,secgov,1400025600.0,LOXO-101,TRK,"Given @entitya$ 's specificity, we do not anticipate clinical activity in patients whose tumors are not driven by @entityb$ .","[-0.0452777  -0.29227418  0.48532608 ...  0.03142615  0.20318437
 -0.45489305]",57
trifluoperazine,tfp,"levels, as determined by FACS, in A549 cells with shRNA targeting luciferase or rps19 and treated with A-3 or trifluoperazine (TFP).",True,76063222,CALCIUM CHANNEL BLOCKERS FOR THE TREATMENT OF RIBOSOMAL DISORDERS AND RIBOSOMAPATHIES,https://data.epo.org/publication-server/rest/v1.2/patents/EP3461482NWA1/document.html,epo,1554242400.0,trifluoperazine,TFP,"levels, as determined by FACS, in A549 cells with shRNA targeting luciferase or rps19 and treated with A-3 or @entitya$ ( @entityb$ ).","[-0.29251337 -0.79863536  0.2930191  ...  0.53275913  0.04744587
  0.5979901 ]",57
minocycline,angiostatin,"Examples of chemotherapeutic and biotherapeutic agents include, but are not limited to, an angiogenesis inhibitor, such ashydroxy angiostatin K1-3, DL-α-Difluoromethyl-ornithine, endostatin, fumagillin, genistein, minocycline, staurosporine, and thalidomide; a DNA intercaltor/cross-linker, such as Bleomycin, Carboplatin, Carmustine, Chlorambucil, Cyclophosphamide, cis-Diammineplatinum(II) dichloride (Cisplatin), Melphalan,",True,113390483,Molecular biomarkers for cancer immunotherapy,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10975442&OS=10975442&RS=10975442,patent_grant,1618272000.0,Minocycline,Angiostatin,"Examples of chemotherapeutic and biotherapeutic agents include, but are not limited to, an angiogenesis inhibitor, such ashydroxy @entityb$ K1-3, DL-α-Difluoromethyl-ornithine, endostatin, fumagillin, genistein, @entitya$ , staurosporine, and thalidomide; a DNA intercaltor/cross-linker, such as Bleomycin, Carboplatin, Carmustine, Chlorambucil, Cyclophosphamide, cis-Diammineplatinum(II) dichloride (Cisplatin), Melphalan,","[ 0.40267813 -0.3904308   0.31573525 ...  0.22425722  0.07345573
  0.6024774 ]",57
3m_052,tlr7,"TLR7 may be activated by imidazoquinolines, such as imiquimod, resiquimod and derivatives imiquimod or resiquimod (e.g. 3M-052).",True,21011604,Formulation of a peptide vaccine,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10702598&OS=10702598&RS=10702598,patent_grant,1594080000.0,3M-052,TLR7," @entityb$ may be activated by imidazoquinolines, such as imiquimod, resiquimod and derivatives imiquimod or resiquimod (e.g. @entitya$ ).","[-0.84829396 -0.12671363 -0.4529717  ...  0.29081276 -0.69751847
  0.31077197]",25
ly3009120,braf,"In some embodiments, the cells are simultaneously exposed to a MAPK pathway inhibitor (e.g., a BRAF inhibitor (e.g., vemurafenib, LY3009120, Dabrafenib, LGX818) (e.g., a MEK inhibitor (e.g., CH5126766/RO5126766, trametinib, MEK162, PDO325901) (e.g., an ERK inhibitor (e.g., SCH772984)).",True,32326952,SMALL MOLECULE DUAL INHIBITORS OF EGFR/PI3K AND USES THEREOF,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220200078360%22.PGNR.&OS=DN/20200078360&RS=DN/20200078360,patent_filed,1583971200.0,LY3009120,BRaf,"In some embodiments, the cells are simultaneously exposed to a MAPK pathway inhibitor (e.g., a @entityb$ inhibitor (e.g., vemurafenib, @entitya$ , Dabrafenib, LGX818) (e.g., a MEK inhibitor (e.g., CH5126766/RO5126766, trametinib, MEK162, PDO325901) (e.g., an ERK inhibitor (e.g., SCH772984)).","[-0.68020064 -0.3708788  -0.41750538 ...  0.5621069  -0.24142417
  0.9792942 ]",25
betahistine,h1,"Betahistine Betahistine chemically is 2-[2-(methylamino) ethyl]pyridine, and is represented by the formula: Betahistine is a histamine H1 receptor agonist and histamine H3 antagonist that crosses the blood-brain barrier and",True,6925910,TOLERABILITY OF MIRTAZAPINE AND A SECOND ACTIVE AGENT BY USING THEM IN COMBINATION,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100204205%22.PGNR.&OS=DN/20100204205&RS=DN/20100204205,patent_filed,1281571200.0,betahistine,H 1," @entitya$ @entitya$ chemically is 2-[2-(methylamino) ethyl]pyridine, and is represented by the formula: @entitya$ is a histamine @entityb$ receptor agonist and histamine H3 antagonist that crosses the blood-brain barrier and","[-0.8445629   0.23404564 -0.09685634 ...  0.4442642  -0.87194157
  0.34930846]",4
akn-028,flt3,"embodiments, the subject is administered a CAR-expressing cell described herein in combination a FLT3 inhibitor, e.g., sorafenib (Bayer), midostaurin (Novartis), quizartinib (Daiichi Sankyo), crenolanib (Arog Pharmaceuticals), PLX3397 (Daiichi Sankyo), AKN-028 (Akinion Pharmaceuticals), or ASP2215 (Astellas).",True,93854989,THERAPEUTIC REGIMENS FOR CHIMERIC ANTIGEN RECEPTOR THERAPIES,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220200085869%22.PGNR.&OS=DN/20200085869&RS=DN/20200085869,patent_filed,1584576000.0,AKN-028,FLT3,"embodiments, the subject is administered a CAR-expressing cell described herein in combination a @entityb$ inhibitor, e.g., sorafenib (Bayer), midostaurin (Novartis), quizartinib (Daiichi Sankyo), crenolanib (Arog Pharmaceuticals), PLX3397 (Daiichi Sankyo), @entitya$ (Akinion Pharmaceuticals), or ASP2215 (Astellas).","[-0.33457318 -0.06539252 -0.29488716 ...  0.1930665  -0.3846014
  0.9418511 ]",4
ly3009120,braf,"in dog at 10 mg/kg, po administered as API capsule Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea (LY3009120) as a pan-RAF inhibitor with minimal paradoxical activation and activity against BRAF or RAS mutant tumor cells.",True,88262000,"Half life in dog at 10 mg/kg, po administered as API capsule",https://pubchem.ncbi.nlm.nih.gov/bioassay/1226931,bioassay,,LY3009120,BRaf,"in dog at 10 mg/kg, po administered as API capsule Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea ( @entitya$ ) as a pan-RAF inhibitor with minimal paradoxical activation and activity against @entityb$ or RAS mutant tumor cells.","[ 0.6128464  -0.18771939  0.39059725 ...  0.12139404 -0.31055903
  0.21455294]",4
loxo_101,trk,"<i>YWHAE-NTRK</i>3 expression in mouse embryonic mesenchymal cells (eMCs) induced spindle cell sarcoma, and the tumor was sensitive to the TRK inhibitor LOXO-101 both in vitro and in vivo.",True,61725311,Identification of Novel Fusion Genes in Bone and Soft Tissue Sarcoma and Their Implication in the Generation of a Mouse Model,https://doaj.org/article/173d44524adb452d87dd5418422b2dc1,doaj,1597881809.0,LOXO-101,TRK,"<i>YWHAE-NTRK</i>3 expression in mouse embryonic mesenchymal cells (eMCs) induced spindle cell sarcoma, and the tumor was sensitive to the @entityb$ inhibitor @entitya$ both in vitro and in vivo.","[ 0.3014223  -0.57032526 -0.37216252 ...  0.23177442  0.1657516
  1.1359645 ]",12
trifluoperazine,tfp,"The effect of the calmodulin inhibitor trifluoperazine (TFP) on Na, Ca and acetylcholine-induced (ACh) currents as well as on capacitance increments was investigated.",True,66973142,Trifluoperazine reduces inward ionic currents and secretion by separate mechanisms in bovine chromaffin cells.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1193321/,pmc,460166400.0,trifluoperazine,TFP,"The effect of the calmodulin inhibitor @entitya$ ( @entityb$ ) on Na, Ca and acetylcholine-induced (ACh) currents as well as on capacitance increments was investigated.","[-0.51066226  0.1726917  -0.18927947 ...  0.4514172  -1.1138375
  0.6143733 ]",12
