label,sentence,entity1,entity1_ix,entity2,entity2_ix,sentence_entity
No Relation,"2016 Jan 2016 “Oncogenic BRaf Deletions That Function as Homodimers and Are Sensitive to Inhibition by Raf Dimer Inhibitor LY3009120 ” , Cancer Discovery 2016 ; Jan . online . ",LY3009120,123,BRaf,25,"2016 Jan 2016 “Oncogenic @entityb$ Deletions That Function as Homodimers and Are Sensitive to Inhibition by Raf Dimer Inhibitor @entitya$ ” , Cancer Discovery 2016 ; Jan . online . "
No Relation,"29 685-694 . cited by other Reynolds , J . N . and R . Maitra , “Propofol and Flurazepam Act Synergistically to Potentiate GABA A Receptor Activation in Human Recombinant Receptors . ",Flurazepam,78,GABA A Receptor,123,"29 685-694 . cited by other Reynolds , J . N . and R . Maitra , “Propofol and @entitya$ Act Synergistically to Potentiate @entityb$ Activation in Human Recombinant Receptors . "
No Relation,"Examples of angiogenesis inhibitors include : Angiostatin K1-3 , DL-α-Difluoromethyl-ornithine , Endostatin , Fumagillin , Genistein , Minocycline , Staurosporine , and ( ± ) -Thalidomide . ",Minocycline,135,Angiostatin,46,"Examples of angiogenesis inhibitors include : @entityb$ K1-3 , DL-α-Difluoromethyl-ornithine , Endostatin , Fumagillin , Genistein , @entitya$ , Staurosporine , and ( ± ) -Thalidomide . "
No Relation,"Several inhibitors of the sialidase ( or neuraminidase ) enzymes of human influenza virus , such as Zanamivir from Glaxo-Wellcome and Oseltamivir ( Tamiflu ) from Hoffmann-La Roche , are on the markets as drugs against influenza and a novel inhibitor RWJ-270201 from Biocryst is in late",RWJ-270201,251,sialidase,26,"Several inhibitors of the @entityb$ ( or neuraminidase ) enzymes of human influenza virus , such as Zanamivir from Glaxo-Wellcome and Oseltamivir ( Tamiflu ) from Hoffmann-La Roche , are on the markets as drugs against influenza and a novel inhibitor @entitya$ from Biocryst is in late"
No Relation,We also found that the AC1-selective inhibitor 5-​ [ [ 2-​ ( 6-​amino-​9 H -​purin-​9-​yl ) ​ethyl ] ​amino ] ​-​1-​pentanol ( NB001 ) does not directly target AC1 to reduce cAMP levels . ,NB001,127,cAMP,174,We also found that the AC1-selective inhibitor 5-​ [ [ 2-​ ( 6-​amino-​9 H -​purin-​9-​yl ) ​ethyl ] ​amino ] ​-​1-​pentanol ( @entitya$ ) does not directly target AC1 to reduce @entityb$ levels . 
No Relation,"Indeed , inclusion of the TLR7 /8-based adjuvant 3M-052 in the alum-adjuvanted pneumococcal vaccine ( PCV ) , that is poorly immunogenic in human newborns , significantly accelerated and enhanced Ab responses",3M-052,49,TLR7,26,"Indeed , inclusion of the @entityb$ /8-based adjuvant @entitya$ in the alum-adjuvanted pneumococcal vaccine ( PCV ) , that is poorly immunogenic in human newborns , significantly accelerated and enhanced Ab responses"
No Relation,"LY3009120 is a small molecule kinase inhibitor that has been shown to inhibit known characterized RAF isoforms , and potentially blocks proliferation in both BRAF and RAS mutant cancer cells . ",LY3009120,0,BRAF,158,"@entitya$ is a small molecule kinase inhibitor that has been shown to inhibit known characterized RAF isoforms , and potentially blocks proliferation in both @entityb$ and RAS mutant cancer cells . "
No Relation,"agreed to design , conduct and perform research and preclinical testing for certain compounds that the Company selects , including LOXO-101 , targeted at TRKA , TRKB and TRKC , and identify IND candidates for TRK and other targets , while undertaking manufacturing activities sufficient to conduct Phase 1 clinical trials",LOXO-101,131,TRK,209,"agreed to design , conduct and perform research and preclinical testing for certain compounds that the Company selects , including @entitya$ , targeted at TRKA , TRKB and TRKC , and identify IND candidates for @entityb$ and other targets , while undertaking manufacturing activities sufficient to conduct Phase 1 clinical trials"
No Relation,and other compounds ( Abstract #975 ) Phase I data on the Toll-like receptor 7/8 ( TLR7/8 ) agonist MEDI9197 in solid tumours ( Abstract #CT091 ) and preclinical data showing its anti-tumour activity in combination with PD-L1 or CTLA-4 checkpoint inhibitors ( Abstract #4697 ) Phase I/II data showing that high,MEDI9197,100,PD-L1,220,and other compounds ( Abstract #975 ) Phase I data on the Toll-like receptor 7/8 ( TLR7/8 ) agonist @entitya$ in solid tumours ( Abstract #CT091 ) and preclinical data showing its anti-tumour activity in combination with @entityb$ or CTLA-4 checkpoint inhibitors ( Abstract #4697 ) Phase I/II data showing that high
No Relation,"For example , in the recently reported SELECT- ACS trial , the P-selectin antagonist inclacumab , which blocks the ability of platelets to bind to leukocytes [ 3 ] , reduced cardiac biomarkers of necrosis ( troponin-I and creatine kinase-MB [ CK-MB ] ) in patients with ACS [ 4 ] . ",inclacumab,85,ACS,47,"For example , in the recently reported SELECT- @entityb$ trial , the P-selectin antagonist @entitya$ , which blocks the ability of platelets to bind to leukocytes [ 3 ] , reduced cardiac biomarkers of necrosis ( troponin-I and creatine kinase-MB [ CK-MB ] ) in patients with ACS [ 4 ] . "
No Relation,"Studies have shown that nalbuphine is a relatively weak partial agonist at MORs ( Traynor et al , 2002 ) , and that there is little change in MOR binding even",nalbuphine,24,MOR,142,"Studies have shown that @entitya$ is a relatively weak partial agonist at MORs ( Traynor et al , 2002 ) , and that there is little change in @entityb$ binding even"
No Relation,"Zoeller , R . T . , Bansal , R . , Parris , C . Bisphenol-A , an environmental contaminant that acts as a thyroid hormone receptor antagonist in v itro , increases serum thyroxine , and alters RC3/neurogranin expression in the developing rat brain . ",thyroxine,170,thyroid hormone receptor,106,"Zoeller , R . T . , Bansal , R . , Parris , C . Bisphenol-A , an environmental contaminant that acts as a @entityb$ antagonist in v itro , increases serum @entitya$ , and alters RC3/neurogranin expression in the developing rat brain . "
No Relation,"Time-concentration profile of a selective OCT2 inhibitor under clinical settings Clinically , platinum-based anti-cancer agents , including oxaliplatin and cisplatin , are administrated via intravenous infusion over a period of time ( typically 2-4 hours , ",oxaliplatin,140,OCT2,42,"Time-concentration profile of a selective @entityb$ inhibitor under clinical settings Clinically , platinum-based anti-cancer agents , including @entitya$ and cisplatin , are administrated via intravenous infusion over a period of time ( typically 2-4 hours , "
No Relation,Calmodulin antagonists such as trifluoperazine ( TFP ) gave substantially the same results as those with CD-349 . ,trifluoperazine,31,TFP,49,Calmodulin antagonists such as @entitya$ ( @entityb$ ) gave substantially the same results as those with CD-349 . 
No Relation,"Cardiovascular preparations include , by way of example , angiotensin converting enzyme ( ACE ) inhibitors such as enalapril , 1-carboxymethyl-3-1-carboxy-3-phenyl- ( 1S ) -propylamino-2 , 3 , 4 , 5-- tetrahydro-1H- -1-benzazepine-2-one , amino-1-carboxy-1S-pentyl ) amino-2 , - 3 , 4 , 5-tetrahydro-2-oxo-3S-1H-1-benzazepine-1-acetic acid or 3- ( 1-ethoxycarbonyl-3-phenyl- ( 1S ) -propylamino ) -2 , 3 , 4 , 5-tetrahydro-2-oxo- ( - 3S ) -benzazepine-1-acetic acid monohydrochloride ; cardiac glycosides such as digoxin and digitoxin ; inotropes such as amrinone and milrinone ; calcium channel blockers",digoxin,513,ACE,90,"Cardiovascular preparations include , by way of example , angiotensin converting enzyme ( @entityb$ ) inhibitors such as enalapril , 1-carboxymethyl-3-1-carboxy-3-phenyl- ( 1S ) -propylamino-2 , 3 , 4 , 5-- tetrahydro-1H- -1-benzazepine-2-one , amino-1-carboxy-1S-pentyl ) amino-2 , - 3 , 4 , 5-tetrahydro-2-oxo-3S-1H-1-benzazepine-1-acetic acid or 3- ( 1-ethoxycarbonyl-3-phenyl- ( 1S ) -propylamino ) -2 , 3 , 4 , 5-tetrahydro-2-oxo- ( - 3S ) -benzazepine-1-acetic acid monohydrochloride ; cardiac glycosides such as @entitya$ and digitoxin ; inotropes such as amrinone and milrinone ; calcium channel blockers"
No Relation,"2 . 2 : TRAIL receptor agonistic antibodies Death receptor agonistic antibodies that have been tested clinically include one DR4 agonistic antibody ( mapatumumab ) , and five DR5 agonistic antibodies ( drozitumumab , conatumumab , lexatumumab , tigatuzumab , LBY-135 ) . ",conatumumab,217,DR4,125,"2 . 2 : TRAIL receptor agonistic antibodies Death receptor agonistic antibodies that have been tested clinically include one @entityb$ agonistic antibody ( mapatumumab ) , and five DR5 agonistic antibodies ( drozitumumab , @entitya$ , lexatumumab , tigatuzumab , LBY-135 ) . "
No Relation,"The method of claim 36 , wherein said H 1 agonist is a betahistine metabolite . ",betahistine,55,H 1,38,"The method of claim 36 , wherein said @entityb$ agonist is a @entitya$ metabolite . "
No Relation,"cited by applicant Falutz et al . , “Effects of Tesamorelin , a Growth Hormone-Releasing Factor , in HIV — Infected Patients with Abdominal Fat Accumulation : ",Tesamorelin,48,Growth Hormone-Releasing Factor,64,"cited by applicant Falutz et al . , “Effects of @entitya$ , a @entityb$ , in HIV — Infected Patients with Abdominal Fat Accumulation : "
No Relation,"PF 04171327 is one of such new synthetic GCR modulators , also called “dissociated agonists of GCR” ( DAGR ) , being developed to retain the anti-inflammatory efficacy of GCs while reducing their unwanted effects , by virtue of this compound’s differential effects on various molecular GC",PF 04171327,0,GC,286,"@entitya$ is one of such new synthetic GCR modulators , also called “dissociated agonists of GCR” ( DAGR ) , being developed to retain the anti-inflammatory efficacy of GCs while reducing their unwanted effects , by virtue of this compound’s differential effects on various molecular @entityb$"
No Relation,The utility of rats in OIPN was confirmed by the demonstration that rat OCT2 transports oxaliplatin and is highly sensitive to inhibition,oxaliplatin,88,OCT2,72,The utility of rats in OIPN was confirmed by the demonstration that rat @entityb$ transports @entitya$ and is highly sensitive to inhibition
No Relation,"One example of this strategy is compound CHR-2845 , which is hydrolyzed by macrophage membrane receptor hCE-1 ( carboxylesterase 1 receptor ) . ",CHR-2845,41,carboxylesterase 1,112,"One example of this strategy is compound @entitya$ , which is hydrolyzed by macrophage membrane receptor hCE-1 ( @entityb$ receptor ) . "
No Relation,"Some of these compounds have entered different stages of clinical trials , such as CEP701 , CHIR-258 , PKC412 , MLN-518 , sunitinib , AC220 , XL-999 , Sorafenib , Ponatinib , Crenolanib , ASP 2215 , AKN-028 , TAK-659 , E6201 , cabozantinib , PLX 3387 , and FLX 925 ( Smith BD et al . , Single-agent CEP-701 , a novel FLT3 inhibitor , shows biologic and clinical activity in patients with relapsed or",AKN-028,199,FLT3,317,"Some of these compounds have entered different stages of clinical trials , such as CEP701 , CHIR-258 , PKC412 , MLN-518 , sunitinib , AC220 , XL-999 , Sorafenib , Ponatinib , Crenolanib , ASP 2215 , @entitya$ , TAK-659 , E6201 , cabozantinib , PLX 3387 , and FLX 925 ( Smith BD et al . , Single-agent CEP-701 , a novel @entityb$ inhibitor , shows biologic and clinical activity in patients with relapsed or"
No Relation,"treated cells transfected with the same human SHBG proximal promoter /luciferase reporter gene construct with a PPARα agonist ( 10 μ fenofibrate ) or the PPARδ agonist ( GW501516 ) at 1 or 10 μ , but neither of these drugs influenced SHBG promoter activity ( ",GW501516,170,PPARα,112,"treated cells transfected with the same human SHBG proximal promoter /luciferase reporter gene construct with a @entityb$ agonist ( 10 μ fenofibrate ) or the PPARδ agonist ( @entitya$ ) at 1 or 10 μ , but neither of these drugs influenced SHBG promoter activity ( "
No Relation,"In another exemplary embodiment , the anti-clotting enzyme is a member selected from Alteplase , Ancrod , Anistreplase , Brinase , Drotrecogin alfa , Fibrinolysin , Protein C , Reteplase , Saruplase , Streptokinase , Tenecteplase , Urokinase . ",Reteplase,177,Alteplase,85,"In another exemplary embodiment , the anti-clotting enzyme is a member selected from @entityb$ , Ancrod , Anistreplase , Brinase , Drotrecogin alfa , Fibrinolysin , Protein C , @entitya$ , Saruplase , Streptokinase , Tenecteplase , Urokinase . "
No Relation,"Antibodies Targeting the CD4 Receptor While this review does not cover antibodies that inhibit HIV entry , we are including this section on the monoclonal antibody ( mAb ) , Hu5A8 ( TNX-355 ; Ibalizumab ) , because its resistance profile has similarities with some of the other entry inhibitors covered in this review . ",Ibalizumab,192,CD4,25,"Antibodies Targeting the @entityb$ Receptor While this review does not cover antibodies that inhibit HIV entry , we are including this section on the monoclonal antibody ( mAb ) , Hu5A8 ( TNX-355 ; @entitya$ ) , because its resistance profile has similarities with some of the other entry inhibitors covered in this review . "
No Relation,"Complementary to WP1066 , we believe STAT3 inhibitor WP1732 may be suitable",WP1066,17,STAT3,37,"Complementary to @entitya$ , we believe @entityb$ inhibitor WP1732 may be suitable"
